image_id,image_path,disease_class,display_name,width,height,aspect_ratio,total_pixels,file_size_kb,mean_red,mean_green,mean_blue,std_red,std_green,std_blue,brightness,contrast,red_dominance,green_dominance,blue_dominance,disease_severity,size_category,brightness_level,dominant_color,avg_color_intensity
001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178.JPG,PlantVillage\Potato___Early_blight\001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,19.71,119.13,121.59,98.03,50.15,50.65,57.68,112.92,53.99,9.33,13.0,-22.33,Diseased,Small,Moderate,Green,112.92
002a55fb-7a3d-4a3a-aca8-ce2d5ebc6925___RS_Early.B 8170.JPG,PlantVillage\Potato___Early_blight\002a55fb-7a3d-4a3a-aca8-ce2d5ebc6925___RS_Early.B 8170.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,16.82,143.35,146.97,123.94,54.21,51.85,64.94,138.08,58.17,7.89,13.33,-21.22,Diseased,Small,Moderate,Green,138.09
009c8c31-f22d-4ffd-8f16-189c6f06c577___RS_Early.B 7885.JPG,PlantVillage\Potato___Early_blight\009c8c31-f22d-4ffd-8f16-189c6f06c577___RS_Early.B 7885.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,21.0,136.51,144.92,128.91,50.82,45.69,56.53,136.78,51.62,-0.41,12.22,-11.8,Diseased,Small,Moderate,Green,136.78
00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722.JPG,PlantVillage\Potato___Early_blight\00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,17.53,108.45,128.54,128.71,43.99,39.11,49.03,121.9,45.24,-20.18,9.96,10.22,Diseased,Small,Moderate,Blue,121.9
0182e991-97f0-4805-a1f7-6e1b4306d518___RS_Early.B 7015.JPG,PlantVillage\Potato___Early_blight\0182e991-97f0-4805-a1f7-6e1b4306d518___RS_Early.B 7015.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,18.72,136.75,144.88,130.41,42.56,38.45,53.88,137.35,45.82,-0.9,11.3,-10.4,Diseased,Small,Moderate,Green,137.35
02578b86-b234-4ac0-9bc3-691b5610e2bf___RS_Early.B 7562.JPG,PlantVillage\Potato___Early_blight\02578b86-b234-4ac0-9bc3-691b5610e2bf___RS_Early.B 7562.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,18.04,125.36,136.52,119.7,51.9,48.96,61.2,127.19,54.72,-2.75,13.99,-11.24,Diseased,Small,Moderate,Green,127.19
0267d4ca-522e-4ca0-b1a2-ce925e5b54a2___RS_Early.B 7020.JPG,PlantVillage\Potato___Early_blight\0267d4ca-522e-4ca0-b1a2-ce925e5b54a2___RS_Early.B 7020.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,18.84,138.32,142.41,101.69,49.14,51.05,64.52,127.47,58.28,16.27,22.4,-38.68,Diseased,Small,Moderate,Green,127.47
028f9b73-142f-499a-9c7b-d7c1ed5e5506___RS_Early.B 8546.JPG,PlantVillage\Potato___Early_blight\028f9b73-142f-499a-9c7b-d7c1ed5e5506___RS_Early.B 8546.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,19.21,119.51,127.22,105.0,54.94,50.42,59.8,117.24,55.95,3.4,14.97,-18.37,Diseased,Small,Moderate,Green,117.24
034959c1-f1e8-4a79-a6d5-3c1d14efa2f3___RS_Early.B 7136.JPG,PlantVillage\Potato___Early_blight\034959c1-f1e8-4a79-a6d5-3c1d14efa2f3___RS_Early.B 7136.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,20.56,133.54,138.18,117.09,54.95,55.03,66.8,129.6,59.88,5.9,12.87,-18.77,Diseased,Small,Moderate,Green,129.6
03b0d3c1-b5b0-48f4-98aa-f8904670290f___RS_Early.B 7051.JPG,PlantVillage\Potato___Early_blight\03b0d3c1-b5b0-48f4-98aa-f8904670290f___RS_Early.B 7051.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,19.32,149.26,151.45,111.26,39.98,41.49,50.2,137.32,47.82,17.9,21.19,-39.09,Diseased,Small,Moderate,Green,137.32
042135e2-e126-4900-9212-d42d900b8125___RS_Early.B 8791.JPG,PlantVillage\Potato___Early_blight\042135e2-e126-4900-9212-d42d900b8125___RS_Early.B 8791.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,17.92,164.53,155.04,119.02,37.16,38.48,53.17,146.2,47.76,27.49,13.27,-40.76,Diseased,Small,Moderate,Red,146.2
044c3abc-0bc9-45fb-8fd5-094aeb605f90___RS_Early.B 8044.JPG,PlantVillage\Potato___Early_blight\044c3abc-0bc9-45fb-8fd5-094aeb605f90___RS_Early.B 8044.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,20.66,137.68,140.31,117.39,49.81,47.94,59.47,131.79,53.64,8.83,12.77,-21.61,Diseased,Small,Moderate,Green,131.79
048d18ae-98b1-484d-97da-5a0e69b9ebc1___RS_Early.B 6845.JPG,PlantVillage\Potato___Early_blight\048d18ae-98b1-484d-97da-5a0e69b9ebc1___RS_Early.B 6845.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,20.88,128.32,140.79,120.1,49.75,47.99,58.5,129.74,52.97,-2.13,16.58,-14.45,Diseased,Small,Moderate,Green,129.74
04c8e6b9-7710-4cdd-b259-2d78b15d1036___RS_Early.B 7066.JPG,PlantVillage\Potato___Early_blight\04c8e6b9-7710-4cdd-b259-2d78b15d1036___RS_Early.B 7066.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,18.04,120.85,130.41,119.05,41.45,37.27,47.93,123.43,42.74,-3.88,10.46,-6.58,Diseased,Small,Moderate,Green,123.44
04ee51b6-07e2-4182-84f8-46b22c8938a2___RS_Early.B 8091.JPG,PlantVillage\Potato___Early_blight\04ee51b6-07e2-4182-84f8-46b22c8938a2___RS_Early.B 8091.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,19.24,135.08,138.38,110.19,47.86,49.06,56.39,127.88,52.76,10.8,15.74,-26.54,Diseased,Small,Moderate,Green,127.88
04fd2a46-ddd4-4b0b-8f19-5ecca482a7d5___RS_Early.B 7273.JPG,PlantVillage\Potato___Early_blight\04fd2a46-ddd4-4b0b-8f19-5ecca482a7d5___RS_Early.B 7273.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,20.0,128.17,138.96,119.16,41.62,38.87,51.13,128.76,44.92,-0.9,15.3,-14.4,Diseased,Small,Moderate,Green,128.76
05c35093-11b8-4cd0-b67a-148859754440___RS_Early.B 8939.JPG,PlantVillage\Potato___Early_blight\05c35093-11b8-4cd0-b67a-148859754440___RS_Early.B 8939.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,20.69,130.65,122.96,105.22,46.37,48.18,55.34,119.61,51.23,16.56,5.02,-21.58,Diseased,Small,Moderate,Red,119.61
0604174e-3018-4faa-9975-0be32d2c0789___RS_Early.B 7123.JPG,PlantVillage\Potato___Early_blight\0604174e-3018-4faa-9975-0be32d2c0789___RS_Early.B 7123.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,20.63,137.26,143.26,124.66,53.87,50.07,67.62,135.06,58.2,3.3,12.3,-15.6,Diseased,Small,Moderate,Green,135.06
060fd5a7-1606-4a59-895b-604c90d6b414___RS_Early.B 7205.JPG,PlantVillage\Potato___Early_blight\060fd5a7-1606-4a59-895b-604c90d6b414___RS_Early.B 7205.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,20.67,122.03,133.56,113.89,46.09,45.23,55.4,123.16,49.78,-1.7,15.6,-13.9,Diseased,Small,Moderate,Green,123.16
065fc68f-88c9-4fc3-b0a6-a6f5e1072eaa___RS_Early.B 7174.JPG,PlantVillage\Potato___Early_blight\065fc68f-88c9-4fc3-b0a6-a6f5e1072eaa___RS_Early.B 7174.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,19.22,134.03,146.2,120.27,44.8,40.03,56.72,133.5,48.86,0.79,19.06,-19.85,Diseased,Small,Moderate,Green,133.5
06ac6596-8d65-46dd-a343-a2209f3480e4___RS_Early.B 6921.JPG,PlantVillage\Potato___Early_blight\06ac6596-8d65-46dd-a343-a2209f3480e4___RS_Early.B 6921.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,21.75,137.75,133.16,98.29,56.88,58.54,68.5,123.07,63.99,22.03,15.14,-37.17,Diseased,Small,Moderate,Red,123.07
06d9fcc9-4eea-4736-8392-5e483e2e948d___RS_Early.B 7411.JPG,PlantVillage\Potato___Early_blight\06d9fcc9-4eea-4736-8392-5e483e2e948d___RS_Early.B 7411.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,20.88,139.15,148.47,130.39,52.0,48.53,59.46,139.34,54.03,-0.28,13.7,-13.42,Diseased,Small,Moderate,Green,139.34
07953ca1-8935-449f-b338-4357ed683b2d___RS_Early.B 6815.JPG,PlantVillage\Potato___Early_blight\07953ca1-8935-449f-b338-4357ed683b2d___RS_Early.B 6815.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,19.41,144.3,142.48,106.43,47.46,47.63,59.69,131.07,54.76,19.84,17.12,-36.96,Diseased,Small,Moderate,Red,131.07
07baabd8-e118-47dd-9d8d-132d4347836a___RS_Early.B 8555.JPG,PlantVillage\Potato___Early_blight\07baabd8-e118-47dd-9d8d-132d4347836a___RS_Early.B 8555.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,19.93,114.94,117.38,86.87,47.54,47.13,53.06,106.39,51.23,12.81,16.48,-29.29,Diseased,Small,Moderate,Green,106.4
07d777f8-2c5a-48da-935e-f17c572b1e6e___RS_Early.B 7880.JPG,PlantVillage\Potato___Early_blight\07d777f8-2c5a-48da-935e-f17c572b1e6e___RS_Early.B 7880.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,20.57,128.64,130.37,107.52,57.36,58.3,67.56,122.18,62.12,9.69,12.29,-21.98,Diseased,Small,Moderate,Green,122.18
08029ccc-387e-4be6-9389-04f7b82fdb2a___RS_Early.B 9130.JPG,PlantVillage\Potato___Early_blight\08029ccc-387e-4be6-9389-04f7b82fdb2a___RS_Early.B 9130.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,19.98,131.58,125.37,97.63,55.7,57.99,64.06,118.19,61.16,20.07,10.77,-30.84,Diseased,Small,Moderate,Red,118.19
08194ca3-f0b2-4aaa-8df8-5ec5ddc6696a___RS_Early.B 8151.JPG,PlantVillage\Potato___Early_blight\08194ca3-f0b2-4aaa-8df8-5ec5ddc6696a___RS_Early.B 8151.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,20.53,142.17,150.56,116.0,42.83,42.76,52.75,136.24,48.64,8.89,21.48,-30.37,Diseased,Small,Moderate,Green,136.24
08392b44-ecc6-4f38-8566-361b552cfe21___RS_Early.B 7393.JPG,PlantVillage\Potato___Early_blight\08392b44-ecc6-4f38-8566-361b552cfe21___RS_Early.B 7393.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,17.94,149.89,158.59,132.31,36.12,34.36,49.06,146.93,41.83,4.44,17.49,-21.92,Diseased,Small,Moderate,Green,146.93
0898bffc-57aa-4fdb-92d1-fd6a03d2a011___RS_Early.B 6946.JPG,PlantVillage\Potato___Early_blight\0898bffc-57aa-4fdb-92d1-fd6a03d2a011___RS_Early.B 6946.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,21.34,133.19,144.0,126.76,50.31,48.29,58.43,134.65,53.01,-2.19,14.02,-11.84,Diseased,Small,Moderate,Green,134.65
089fb289-4bea-48b6-a29a-3a1d268d9dd3___RS_Early.B 8081.JPG,PlantVillage\Potato___Early_blight\089fb289-4bea-48b6-a29a-3a1d268d9dd3___RS_Early.B 8081.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,20.45,137.37,130.83,101.4,54.72,58.25,60.89,123.2,60.08,21.25,11.45,-32.7,Diseased,Small,Moderate,Red,123.2
08a892eb-19cc-45ea-babc-181b98f89238___RS_Early.B 7367.JPG,PlantVillage\Potato___Early_blight\08a892eb-19cc-45ea-babc-181b98f89238___RS_Early.B 7367.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,18.42,134.02,137.15,108.02,54.14,55.26,65.29,126.39,59.88,11.43,16.13,-27.56,Diseased,Small,Moderate,Green,126.4
08bbd7f1-169d-4e38-946f-8d91589b263e___RS_Early.B 7106.JPG,PlantVillage\Potato___Early_blight\08bbd7f1-169d-4e38-946f-8d91589b263e___RS_Early.B 7106.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,17.82,145.75,148.44,111.74,39.94,42.06,56.18,135.31,49.52,15.66,19.69,-35.35,Diseased,Small,Moderate,Green,135.31
08cf1add-91f8-41ea-bc13-54e7d1cb6da0___RS_Early.B 6865.JPG,PlantVillage\Potato___Early_blight\08cf1add-91f8-41ea-bc13-54e7d1cb6da0___RS_Early.B 6865.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,22.94,131.46,141.77,123.39,48.39,47.95,57.26,132.2,51.93,-1.12,14.35,-13.23,Diseased,Small,Moderate,Green,132.21
094fbf4c-da00-4037-82af-03e712d8db47___RS_Early.B 6908.JPG,PlantVillage\Potato___Early_blight\094fbf4c-da00-4037-82af-03e712d8db47___RS_Early.B 6908.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,21.25,128.13,136.45,103.89,45.63,48.15,55.39,122.83,51.77,7.96,20.44,-28.4,Diseased,Small,Moderate,Green,122.82
096a2c48-104c-4570-9e34-8dd60aa5ebcf___RS_Early.B 6979.JPG,PlantVillage\Potato___Early_blight\096a2c48-104c-4570-9e34-8dd60aa5ebcf___RS_Early.B 6979.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,16.86,142.14,149.32,117.05,52.0,51.5,67.5,136.17,59.12,8.96,19.72,-28.68,Diseased,Small,Moderate,Green,136.17
096f6928-24dd-4efd-acc6-b8246318676c___RS_Early.B 8970.JPG,PlantVillage\Potato___Early_blight\096f6928-24dd-4efd-acc6-b8246318676c___RS_Early.B 8970.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,23.17,139.82,137.38,99.99,47.55,48.87,58.39,125.73,54.94,21.14,17.47,-38.61,Diseased,Small,Moderate,Red,125.73
09ab9573-90d5-4001-9b74-14551935deef___RS_Early.B 7603.JPG,PlantVillage\Potato___Early_blight\09ab9573-90d5-4001-9b74-14551935deef___RS_Early.B 7603.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,16.45,123.59,126.5,99.08,44.75,47.48,59.59,116.39,52.48,10.8,15.16,-25.96,Diseased,Small,Moderate,Green,116.39
0a0744dc-8486-4fbb-a44b-4d63e6db6197___RS_Early.B 7575.JPG,PlantVillage\Potato___Early_blight\0a0744dc-8486-4fbb-a44b-4d63e6db6197___RS_Early.B 7575.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,17.92,160.41,160.7,122.33,52.5,54.25,66.23,147.81,60.72,18.9,19.33,-38.23,Diseased,Small,Moderate,Green,147.81
0a47f32c-1724-4c8d-bfe4-986cedd3587b___RS_Early.B 8001.JPG,PlantVillage\Potato___Early_blight\0a47f32c-1724-4c8d-bfe4-986cedd3587b___RS_Early.B 8001.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,16.83,97.34,109.33,94.9,45.7,41.84,52.48,100.52,47.3,-4.78,13.22,-8.44,Diseased,Small,Moderate,Green,100.52
0a6983a5-895e-4e68-9edb-88adf79211e9___RS_Early.B 9072.JPG,PlantVillage\Potato___Early_blight\0a6983a5-895e-4e68-9edb-88adf79211e9___RS_Early.B 9072.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,20.62,137.55,142.93,115.12,42.39,43.34,56.24,131.87,49.24,8.52,16.59,-25.11,Diseased,Small,Moderate,Green,131.87
0a79700b-f834-41f5-ae51-6ceda6f67a48___RS_Early.B 8951.JPG,PlantVillage\Potato___Early_blight\0a79700b-f834-41f5-ae51-6ceda6f67a48___RS_Early.B 8951.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,22.01,131.71,137.58,104.03,49.15,49.37,57.68,124.44,54.23,10.91,19.71,-30.62,Diseased,Small,Moderate,Green,124.44
0a8a68ee-f587-4dea-beec-79d02e7d3fa4___RS_Early.B 8461.JPG,PlantVillage\Potato___Early_blight\0a8a68ee-f587-4dea-beec-79d02e7d3fa4___RS_Early.B 8461.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,18.89,145.0,147.6,124.63,47.37,45.39,54.65,139.08,50.36,8.89,12.78,-21.67,Diseased,Small,Moderate,Green,139.08
0ad3ba53-f01b-403b-a99d-5991eed85045___RS_Early.B 7600.JPG,PlantVillage\Potato___Early_blight\0ad3ba53-f01b-403b-a99d-5991eed85045___RS_Early.B 7600.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,15.43,116.7,130.84,128.27,40.96,33.95,49.04,125.27,42.23,-12.85,8.35,4.5,Diseased,Small,Moderate,Green,125.27
0bbb8bce-2020-416b-8bd6-c160c2db9921___RS_Early.B 8386.JPG,PlantVillage\Potato___Early_blight\0bbb8bce-2020-416b-8bd6-c160c2db9921___RS_Early.B 8386.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,20.71,142.13,146.89,119.8,49.25,45.54,56.85,136.27,52.12,8.78,15.93,-24.72,Diseased,Small,Moderate,Green,136.27
0c4f6f72-c7a2-42e1-9671-41ab3bf37fe7___RS_Early.B 6752.JPG,PlantVillage\Potato___Early_blight\0c4f6f72-c7a2-42e1-9671-41ab3bf37fe7___RS_Early.B 6752.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,22.01,137.45,148.33,126.36,48.44,50.25,55.45,137.38,52.24,0.11,16.43,-16.54,Diseased,Small,Moderate,Green,137.38
0c5b14d9-8b1c-4c39-bb23-1835b5760caa___RS_Early.B 7937.JPG,PlantVillage\Potato___Early_blight\0c5b14d9-8b1c-4c39-bb23-1835b5760caa___RS_Early.B 7937.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,19.83,134.46,135.08,118.3,53.03,51.06,60.88,129.28,55.7,7.77,8.7,-16.48,Diseased,Small,Moderate,Green,129.28
0caf6a39-3f5f-4201-a4d7-3ea35fdf1303___RS_Early.B 6762.JPG,PlantVillage\Potato___Early_blight\0caf6a39-3f5f-4201-a4d7-3ea35fdf1303___RS_Early.B 6762.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,20.61,131.2,138.04,111.67,49.06,52.43,53.17,126.97,52.78,6.34,16.61,-22.95,Diseased,Small,Moderate,Green,126.97
0d2325ff-4e3e-44bf-9614-e5ad6c23fc16___RS_Early.B 6797.JPG,PlantVillage\Potato___Early_blight\0d2325ff-4e3e-44bf-9614-e5ad6c23fc16___RS_Early.B 6797.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,19.37,126.11,135.61,117.06,58.35,57.99,65.67,126.26,61.25,-0.23,14.02,-13.79,Diseased,Small,Moderate,Green,126.26
0d2e2971-f1c9-4278-b35c-91dd8a22a64d___RS_Early.B 7581.JPG,PlantVillage\Potato___Early_blight\0d2e2971-f1c9-4278-b35c-91dd8a22a64d___RS_Early.B 7581.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,19.17,155.96,150.61,112.32,45.82,48.61,55.02,139.63,53.61,24.5,16.47,-40.97,Diseased,Small,Moderate,Red,139.63
0d987d4a-26bc-4f74-8a16-12f8969dfed8___RS_Early.B 7013.JPG,PlantVillage\Potato___Early_blight\0d987d4a-26bc-4f74-8a16-12f8969dfed8___RS_Early.B 7013.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,19.58,135.32,144.65,126.75,48.45,46.51,56.19,135.57,51.08,-0.38,13.62,-13.24,Diseased,Small,Moderate,Green,135.57
0d9dbf50-53a9-42b2-8b29-0360fb7dbd98___RS_Early.B 6692.JPG,PlantVillage\Potato___Early_blight\0d9dbf50-53a9-42b2-8b29-0360fb7dbd98___RS_Early.B 6692.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,17.97,159.98,155.82,114.39,48.18,48.7,54.59,143.4,54.6,24.87,18.64,-43.51,Diseased,Small,Moderate,Red,143.4
0ddd62cd-a999-4d58-a8f1-506e1004a595___RS_Early.B 8041.JPG,PlantVillage\Potato___Early_blight\0ddd62cd-a999-4d58-a8f1-506e1004a595___RS_Early.B 8041.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,18.84,149.74,152.43,128.4,45.68,44.01,57.73,143.52,50.67,9.32,13.36,-22.69,Diseased,Small,Moderate,Green,143.52
0e0a1b51-f61c-4934-bc57-a820af1faacb___RS_Early.B 7147.JPG,PlantVillage\Potato___Early_blight\0e0a1b51-f61c-4934-bc57-a820af1faacb___RS_Early.B 7147.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,19.28,139.61,145.19,116.41,49.78,52.45,60.22,133.74,55.74,8.81,17.19,-26.0,Diseased,Small,Moderate,Green,133.74
0e6b9e09-2bcd-41e0-b001-b80a33a8a78b___RS_Early.B 8694.JPG,PlantVillage\Potato___Early_blight\0e6b9e09-2bcd-41e0-b001-b80a33a8a78b___RS_Early.B 8694.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,19.37,140.71,127.42,101.7,51.15,52.24,58.29,123.28,56.36,26.14,6.22,-32.36,Diseased,Small,Moderate,Red,123.28
0ed45bc2-c8cc-4d65-8f53-bdc10d78a7dc___RS_Early.B 8504.JPG,PlantVillage\Potato___Early_blight\0ed45bc2-c8cc-4d65-8f53-bdc10d78a7dc___RS_Early.B 8504.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,17.19,134.2,137.21,106.19,53.39,51.42,63.39,125.86,58.02,12.5,17.02,-29.52,Diseased,Small,Moderate,Green,125.87
0ede4acd-3685-40d9-b52b-7b3cb6536fa8___RS_Early.B 7377.JPG,PlantVillage\Potato___Early_blight\0ede4acd-3685-40d9-b52b-7b3cb6536fa8___RS_Early.B 7377.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,15.77,142.75,145.36,115.64,60.56,61.84,66.89,134.58,64.57,12.25,16.16,-28.41,Diseased,Small,Moderate,Green,134.58
0f223bbc-d2b4-4d58-8314-359d92d0102b___RS_Early.B 8052.JPG,PlantVillage\Potato___Early_blight\0f223bbc-d2b4-4d58-8314-359d92d0102b___RS_Early.B 8052.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,19.53,128.37,139.05,113.09,50.0,44.28,57.38,126.84,51.94,2.3,18.32,-20.61,Diseased,Small,Moderate,Green,126.84
0f9c098f-a6df-4a73-8c14-8e7d4dbb1b0b___RS_Early.B 7991.JPG,PlantVillage\Potato___Early_blight\0f9c098f-a6df-4a73-8c14-8e7d4dbb1b0b___RS_Early.B 7991.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,20.15,141.06,139.27,118.79,51.06,50.83,59.52,133.04,54.89,12.03,9.35,-21.38,Diseased,Small,Moderate,Red,133.04
0faca7fe-7254-4dfa-8388-bbc776338c9c___RS_Early.B 7929.JPG,PlantVillage\Potato___Early_blight\0faca7fe-7254-4dfa-8388-bbc776338c9c___RS_Early.B 7929.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,21.05,139.37,143.88,111.42,46.32,45.78,58.37,131.56,52.49,11.72,18.48,-30.2,Diseased,Small,Moderate,Green,131.56
0fd22207-cb37-42a1-965f-7dfe43f9d579___RS_Early.B 6876.JPG,PlantVillage\Potato___Early_blight\0fd22207-cb37-42a1-965f-7dfe43f9d579___RS_Early.B 6876.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,20.18,118.08,128.7,102.04,55.49,54.11,64.71,116.27,59.31,2.71,18.64,-21.35,Diseased,Small,Moderate,Green,116.27
107827b3-faa5-457c-97fd-3e34d2657f6b___RS_Early.B 7162.JPG,PlantVillage\Potato___Early_blight\107827b3-faa5-457c-97fd-3e34d2657f6b___RS_Early.B 7162.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,19.55,124.46,130.16,110.52,49.16,48.16,58.85,121.71,52.93,4.12,12.67,-16.79,Diseased,Small,Moderate,Green,121.71
1082eee1-189d-4e0f-96b5-8b1393be4c4c___RS_Early.B 8743.JPG,PlantVillage\Potato___Early_blight\1082eee1-189d-4e0f-96b5-8b1393be4c4c___RS_Early.B 8743.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,18.12,127.87,125.11,99.16,51.47,51.29,56.98,117.38,54.86,15.73,11.6,-27.33,Diseased,Small,Moderate,Red,117.38
109730cd-03f3-4139-a464-5f9151483e8c___RS_Early.B 6738.JPG,PlantVillage\Potato___Early_blight\109730cd-03f3-4139-a464-5f9151483e8c___RS_Early.B 6738.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,21.55,147.53,148.47,119.61,48.51,50.7,56.02,138.53,53.54,13.49,14.9,-28.39,Diseased,Small,Moderate,Green,138.54
10a3920b-dd04-406d-8bbd-f92f221e4dee___RS_Early.B 7035.JPG,PlantVillage\Potato___Early_blight\10a3920b-dd04-406d-8bbd-f92f221e4dee___RS_Early.B 7035.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,18.9,139.76,143.82,124.01,41.42,39.29,57.03,135.86,47.36,5.84,11.93,-17.77,Diseased,Small,Moderate,Green,135.86
10c438df-8ed7-4de7-94df-83298ebcf373___RS_Early.B 7001.JPG,PlantVillage\Potato___Early_blight\10c438df-8ed7-4de7-94df-83298ebcf373___RS_Early.B 7001.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,20.0,132.9,139.97,120.0,52.47,51.76,60.39,130.96,55.63,2.92,13.52,-16.43,Diseased,Small,Moderate,Green,130.96
1131b92e-ef46-441e-ac5f-c18ac09bf69a___RS_Early.B 8064.JPG,PlantVillage\Potato___Early_blight\1131b92e-ef46-441e-ac5f-c18ac09bf69a___RS_Early.B 8064.JPG,Potato___Early_blight,Early Blight,256,256,1.0,65536,20.19,141.25,144.55,118.64,53.94,54.6,62.73,134.81,58.38,9.65,14.6,-24.25,Diseased,Small,Moderate,Green,134.81
